"instruction","input","original_single_robot_output","num_subtasks","subtask_1","subtask_1_robot","subtask_1_order","subtask_2","subtask_2_robot","subtask_2_order","subtask_3","subtask_3_robot","subtask_3_order","subtask_4","subtask_4_robot","subtask_4_order"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Track wildlife migration across a large natural reserve from above.","['Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Monitor city power lines for structural integrity after heavy snowfall.","['Drone']","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect solar panel installations on a remote desert facility.","['Drone']","4","Primary task execution and main operation","Robot with Wheels","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Provide aerial surveillance during a large outdoor event for safety monitoring.","['Drone']","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Check the roofs of historic buildings for structural weaknesses.","['Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Climb steep terrain to deliver supplies to a remote mountain hut.","['Robot with Legs', 'Drone']","4","Primary task execution and main operation","Robot with Legs","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Robot with Legs","1","Backup assistance and emergency response","Robot with Legs","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect interior walls in a damaged building post-earthquake for cracks.","['Robot with Legs', 'Humanoid']","4","Aerial damage assessment and overview","Drone","1","Ground-level detailed structural inspection","Robot with Legs","2","Underwater damage evaluation if applicable","Underwater Robot","1","Rescue coordination and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Traverse muddy trails in a forest to map new pathways.","['Robot with Legs', 'Drone']","4","Aerial reconnaissance and path finding","Drone","1","Ground navigation through dense vegetation","Robot with Legs","1","Environmental monitoring and wildlife detection","Humanoid","1","Emergency extraction and backup support","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Monitor livestock health in a pasture with diverse terrain.","['Drone', 'Robot with Legs', 'Robot with Wheels']","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Assess plant growth in an overgrown garden for community maintenance.","['Drone', 'Robot with Legs', 'Humanoid']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect the stability of tree roots near a steep riverbank.","['Robot with Legs', 'Drone', 'Underwater Robot']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Carry samples across a rugged archaeological dig site.","['Robot with Legs', 'Robot with Wheels', 'Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Check the base of rocky hillsides for potential landslide risks.","['Robot with Legs', 'Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Survey fence boundaries in a forest reserve to prevent breaches.","['Drone', 'Robot with Legs']","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Transport tools between work zones in a construction area with unstable ground.","['Robot with Legs']","4","Heavy lifting and primary transport","Robot with Wheels","2","Inventory management and tracking","Robot with Wheels","1","Route optimization and traffic control","Robot with Wheels","1","Quality control and verification","Robot with Wheels","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Traverse an arid desert to locate potential water sources.","['Robot with Wheels']","4","Primary task execution and main operation","Robot with Wheels","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Explore sandy dunes to reach a remote geological survey point.","['Robot with Wheels']","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Assess rocky mountain trails for new hiking routes.","['Robot with Legs', 'Drone']","4","Primary task execution and main operation","Robot with Legs","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Drive across flat, dry plains to map mineral deposits.","['Robot with Wheels', 'Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Collect soil samples from a recently burned forest for analysis.","['Robot with Legs', 'Drone']","4","Aerial reconnaissance and path finding","Drone","1","Ground navigation through dense vegetation","Robot with Legs","1","Environmental monitoring and wildlife detection","Humanoid","1","Emergency extraction and backup support","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Navigate across volcanic rock formations to measure temperature levels.","['Robot with Legs', 'Drone']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Study the surface of a frozen lake for ice thickness.","['Drone', 'Robot with Wheels', 'Robot with Legs']","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
